"Year,Value"
"191706,-0.40"
"191707,-0.29"
"191708,-0.32"
"191709,-0.24"
"191710,-0.30"
"191711,-0.32"
"191712,-0.25"
"191801,-0.27"
"191802,-0.36"
"191803,-0.33"
"191804,-0.30"
"191805,-0.32"
"191806,-0.34"
"191807,-0.33"
"191808,-0.32"
"191809,-0.31"
"191810,-0.31"
"191811,-0.18"
"191812,-0.17"
"191901,-0.15"
"191902,-0.15"
"191903,-0.13"
"191904,-0.17"
"191905,-0.29"
"191906,-0.34"
"191907,-0.38"
"191908,-0.44"
"191909,-0.33"
"191910,-0.24"
"191911,-0.25"
"191912,-0.34"
"192001,-0.33"
"192002,-0.18"
"192003,-0.18"
"192004,-0.24"
"192005,-0.20"
"192006,-0.20"
"192007,-0.27"
"192008,-0.36"
"192009,-0.29"
"192010,-0.31"
"192011,-0.26"
"192012,-0.23"
"192101,-0.17"
"192102,-0.18"
"192103,-0.16"
"192104,-0.17"
"192105,-0.20"
"192106,-0.25"
"192107,-0.20"
"192108,-0.22"
"192109,-0.08"
"192110,-0.02"
"192111,-0.10"
"192112,-0.09"
"192201,-0.13"
"192202,-0.13"
"192203,-0.11"
"192204,-0.17"
"192205,-0.24"
"192206,-0.29"
"192207,-0.31"
"192208,-0.35"
"192209,-0.35"
"192210,-0.30"
"192211,-0.22"
"192212,-0.24"
"192301,-0.26"
"192302,-0.32"
"192303,-0.32"
"192304,-0.25"
"192305,-0.23"
"192306,-0.24"
"192307,-0.27"
"192308,-0.35"
"192309,-0.24"
"192310,-0.19"
"192311,-0.06"
"192312,-0.02"
"192401,-0.14"
"192402,-0.14"
"192403,-0.06"
"192404,-0.08"
"192405,-0.04"
"192406,-0.14"
"192407,-0.23"
"192408,-0.27"
"192409,-0.27"
"192410,-0.31"
"192411,-0.33"
"192412,-0.37"
"192501,-0.36"
"192502,-0.33"
"192503,-0.28"
"192504,-0.24"
"192505,-0.12"
"192506,-0.14"
"192507,-0.17"
"192508,-0.16"
"192509,-0.14"
"192510,-0.07"
"192511,0.00"
"192512,0.00"
"192601,0.09"
"192602,0.03"
"192603,-0.01"
"192604,0.00"
"192605,-0.03"
"192606,-0.03"
"192607,-0.06"
"192608,-0.08"
"192609,0.00"
"192610,-0.01"
"192611,0.05"
"192612,-0.01"
"192701,-0.05"
"192702,-0.11"
"192703,-0.13"
"192704,-0.13"
"192705,-0.16"
"192706,-0.15"
"192707,-0.10"
"192708,-0.07"
"192709,-0.09"
"192710,0.00"
"192711,0.04"
"192712,-0.01"
"192801,0.02"
"192802,-0.09"
"192803,-0.09"
"192804,-0.19"
"192805,-0.19"
"192806,-0.22"
"192807,-0.12"
"192808,-0.20"
"192809,-0.13"
"192810,-0.17"
"192811,-0.18"
"192812,-0.23"
"192901,-0.23"
"192902,-0.24"
"192903,-0.25"
"192904,-0.27"
"192905,-0.23"
"192906,-0.26"
"192907,-0.23"
"192908,-0.15"
"192909,-0.11"
"192910,-0.13"
"192911,-0.13"
"192912,-0.13"
"193001,0.00"
"193002,-0.12"
"193003,-0.06"
"193004,-0.09"
"193005,-0.12"
"193006,-0.08"
"193007,-0.07"
"193008,-0.05"
"193009,0.12"
"193010,0.18"
"193011,0.19"
"193012,0.13"
"193101,0.10"
"193102,0.05"
"193103,0.09"
"193104,-0.04"
"193105,0.01"
"193106,0.07"
"193107,-0.03"
"193108,0.01"
"193109,0.02"
"193110,-0.03"
"193111,-0.10"
"193112,-0.13"
"193201,-0.09"
"193202,-0.12"
"193203,-0.09"
"193204,-0.12"
"193205,-0.12"
"193206,-0.16"
"193207,-0.19"
"193208,-0.10"
"193209,-0.06"
"193210,-0.08"
"193211,-0.13"
"193212,-0.11"
"193301,-0.08"
"193302,-0.05"
"193303,-0.10"
"193304,-0.06"
"193305,-0.17"
"193306,-0.23"
"193307,-0.18"
"193308,-0.19"
"193309,-0.24"
"193310,-0.16"
"193311,-0.26"
"193312,-0.29"
"193401,-0.23"
"193402,-0.22"
"193403,-0.23"
"193404,-0.17"
"193405,-0.11"
"193406,0.03"
"193407,0.00"
"193408,-0.04"
"193409,0.02"
"193410,-0.06"
"193411,-0.04"
"193412,-0.06"
"193501,-0.16"
"193502,-0.05"
"193503,-0.09"
"193504,-0.07"
"193505,-0.10"
"193506,-0.11"
"193507,-0.09"
"193508,-0.11"
"193509,-0.10"
"193510,0.03"
"193511,0.05"
"193512,0.06"
"193601,-0.05"
"193602,0.01"
"193603,0.03"
"193604,0.11"
"193605,0.02"
"193606,0.07"
"193607,-0.01"
"193608,0.05"
"193609,0.09"
"193610,0.00"
"193611,-0.04"
"193612,0.02"
"193701,0.10"
"193702,0.14"
"193703,0.09"
"193704,0.10"
"193705,0.08"
"193706,0.14"
"193707,0.18"
"193708,0.21"
"193709,0.21"
"193710,0.14"
"193711,0.21"
"193712,0.17"
"193801,0.14"
"193802,0.07"
"193803,0.04"
"193804,0.00"
"193805,0.00"
"193806,-0.01"
"193807,-0.09"
"193808,-0.04"
"193809,-0.05"
"193810,-0.02"
"193811,-0.08"
"193812,-0.15"
"193901,-0.25"
"193902,-0.14"
"193903,-0.15"
"193904,-0.12"
"193905,-0.06"
"193906,-0.06"
"193907,-0.01"
"193908,0.04"
"193909,0.15"
"193910,0.19"
"193911,0.12"
"193912,0.12"
"194001,0.18"
"194002,0.08"
"194003,0.09"
"194004,0.12"
"194005,0.22"
"194006,0.18"
"194007,0.20"
"194008,0.18"
"194009,0.19"
"194010,0.25"
"194011,0.34"
"194012,0.31"
"194101,0.33"
"194102,0.44"
"194103,0.24"
"194104,0.27"
"194105,0.31"
"194106,0.21"
"194107,0.26"
"194108,0.25"
"194109,0.33"
"194110,0.55"
"194111,0.57"
"194112,0.46"
"194201,0.26"
"194202,0.23"
"194203,0.20"
"194204,0.21"
"194205,0.24"
"194206,0.11"
"194207,0.08"
"194208,0.08"
"194209,0.11"
"194210,0.08"
"194211,0.13"
"194212,0.12"
"194301,0.10"
"194302,0.08"
"194303,0.07"
"194304,0.10"
"194305,0.06"
"194306,0.04"
"194307,0.00"
"194308,0.12"
"194309,0.17"
"194310,0.27"
"194311,0.27"
"194312,0.10"
"194401,0.17"
"194402,0.27"
"194403,0.26"
"194404,0.24"
"194405,0.27"
"194406,0.31"
"194407,0.32"
"194408,0.32"
"194409,0.39"
"194410,0.37"
"194411,0.34"
"194412,0.39"
"194501,0.39"
"194502,0.39"
"194503,0.25"
"194504,0.39"
"194505,0.32"
"194506,0.27"
"194507,0.25"
"194508,0.35"
"194509,0.28"
"194510,0.22"
"194511,0.21"
"194512,0.26"
"194601,0.24"
"194602,-0.01"
"194603,0.12"
"194604,0.16"
"194605,0.11"
"194606,0.07"
"194607,0.00"
"194608,0.03"
"194609,0.13"
"194610,0.13"
"194611,0.06"
"194612,-0.06"
"194701,-0.01"
"194702,0.08"
"194703,0.03"
"194704,0.06"
"194705,0.04"
"194706,0.10"
